,combination,driver,cost,unique_coverage,value,unique_courses
24,2,Baby Peach (Cherub),2,8,0.25,"{'SNES Rainbow Road R/T', 'SNES Choco Island 2', 'GCN Yoshi Circuit R/T', 'N64 Frappe Snowland R/T', 'SNES Choco Island 1', 'SNES Donut Plains 1R', '3DS Mario Circuit', 'DS DK Pass T'}"
28,2,Green Shy Guy,2,6,0.3333333333333333,"{'N64 Kalimari Desert', 'SNES Donut Plains 1', 'SNES Koopa Troopa Beach 2R', 'RMX Vanilla Lake 1R', 'GCN Yoshi Circuit R', 'Wii Maple Treeway R'}"
32,2,White Yoshi,2,6,0.3333333333333333,"{'RMX Choco Island 1R/T', 'RMX Mario Circuit 1R', 'SNES Mario Circuit 3', 'RMX Mario Circuit 1', '3DS Mario Circuit R', 'SNES Mario Circuit 3R/T'}"
25,2,Funky Kong,2,5,0.4,"{'SNES Vanilla Lake 1T', '3DS Rock Rock Mountain T', ""GBA Bowser's Castle 2T"", 'GBA Cheep-Cheep Island R', '3DS Cheep Cheep Lagoon'}"
33,2,Luigi (Classic),2,5,0.4,"{'SNES Donut Plains 1R/T', 'SNES Mario Circuit 2T', ""DS Luigi's Mansion R/T"", 'SNES Mario Circuit 2R', ""DS Luigi's Mansion R""}"
19,2,Captain Toad,2,4,0.5,"{'N64 Choco Mountain', '3DS Cheep Cheep Lagoon R/T', 'RMX Choco Island 2', 'N64 Kalimari Desert 2T'}"
23,2,Dry Bowser (Gold),2,4,0.5,"{""GBA Bowser's Castle 2R/T"", ""DS Luigi's Mansion T"", 'RMX Rainbow Road 1R', ""3DS Rosalina's Ice World T""}"
27,2,Builder Toad,2,4,0.5,"{'MKT Merry Mountain T', 'RMX Rainbow Road 1T', 'SNES Vanilla Lake 1R/T', 'RMX Choco Island 1'}"
29,2,Builder Mario,2,4,0.5,"{'DS Airship Fortress R/T', '3DS Daisy Hills R/T', 'RMX Mario Circuit 1T', '3DS Daisy Hills T'}"
30,2,Fire Rosalina,2,4,0.5,"{'GBA Cheep-Cheep Island', '3DS Rainbow Road', 'DS Airship Fortress T', 'SNES Ghost Valley 1'}"
31,2,Pauline (Party Time),2,4,0.5,"{'3DS Neo Bowser City R/T', ""GBA Bowser's Castle 1R/T"", 'SNES Rainbow Road', 'DS DK Pass R'}"
21,2,Birdo (Black),2,3,0.6666666666666666,"{'DS DK Pass R/T', 'RMX Vanilla Lake 1T', 'SNES Choco Island 2R'}"
43,3,Shy Guy (Ninja),2,15,0.13333333333333333,"{'N64 Choco Mountain R', '3DS Shy Guy Bazaar T', 'SNES Donut Plains 2T', 'Wii DK Summit R', 'RMX Choco Island 2T', 'SNES Choco Island 2T', 'MKT Ninja Hideaway', 'Wii DK Summit T', 'GBA Sunset Wilds', '3DS Neo Bowser City T', 'MKT Ninja Hideaway T', 'N64 Kalimari Desert T', 'N64 Frappe Snowland T', '3DS Shy Guy Bazaar R', 'RMX Vanilla Lake 1'}"
35,3,Gold Koopa (Freerunning),2,13,0.15384615384615385,"{'N64 Koopa Troopa Beach R', 'GCN Dino Dino Jungle R', 'N64 Koopa Troopa Beach T', 'N64 Koopa Troopa Beach R/T', 'N64 Koopa Troopa Beach', 'GCN Dino Dino Jungle', 'SNES Mario Circuit 1R/T', 'RMX Choco Island 2R', '3DS Cheep Cheep Lagoon T', 'SNES Donut Plains 1T', 'SNES Mario Circuit 2R/T', '3DS Toad Circuit R/T', 'SNES Choco Island 1R'}"
38,3,Bowser (Santa),2,13,0.15384615384615385,"{'DS Waluigi Pinball T', 'N64 Royal Raceway', 'SNES Ghost Valley 1R', 'RMX Rainbow Road 1R/T', 'SNES Vanilla Lake 1', 'Wii Maple Treeway T', 'SNES Vanilla Lake 1R', 'RMX Rainbow Road 2', 'N64 Frappe Snowland', 'GCN Dino Dino Jungle R/T', '3DS Shy Guy Bazaar', '3DS Rainbow Road T', 'MKT Merry Mountain'}"
39,3,Dry Bones (Gold),2,13,0.15384615384615385,"{""GBA Bowser's Castle 2R/T"", 'SNES Koopa Troopa Beach 2', 'RMX Rainbow Road 1R', ""GBA Bowser's Castle 1R/T"", 'SNES Rainbow Road R', '3DS Neo Bowser City R/T', 'N64 Kalimari Desert 2', ""GBA Bowser's Castle 2T"", 'SNES Choco Island 1', 'SNES Ghost Valley 1', 'DS Airship Fortress R/T', 'SNES Rainbow Road', 'SNES Vanilla Lake 1R/T'}"
34,3,Mario (Hakama),2,9,0.2222222222222222,"{'SNES Mario Circuit 1', 'SNES Mario Circuit 3R', 'SNES Mario Circuit 1R', 'DS Waluigi Pinball', ""GBA Bowser's Castle 1T"", 'SNES Mario Circuit 1T', 'DS Waluigi Pinball R', 'RMX Mario Circuit 1R/T', 'SNES Mario Circuit 2'}"
36,3,King Boo (Gold),2,9,0.2222222222222222,"{'SNES Rainbow Road R/T', 'SNES Choco Island 2', 'DS Airship Fortress', 'SNES Vanilla Lake 1T', 'RMX Choco Island 1', 'N64 Kalimari Desert 2T', '3DS Rainbow Road', 'SNES Koopa Troopa Beach 2R', 'Wii Maple Treeway R'}"
50,3,White Yoshi,2,8,0.25,"{'RMX Choco Island 1R/T', '3DS Toad Circuit', 'SNES Mario Circuit 3', 'RMX Mario Circuit 1', '3DS Mario Circuit R', 'SNES Mario Circuit 3R/T', 'SNES Mario Circuit 3T', '3DS Toad Circuit R'}"
37,3,Birdo (Black),2,7,0.2857142857142857,"{""3DS Rosalina's Ice World R"", 'N64 Choco Mountain R/T', 'SNES Choco Island 2R', 'GBA Cheep-Cheep Island T', 'RMX Vanilla Lake 1T', 'RMX Choco Island 1T', 'MKT Ninja Hideaway R/T'}"
45,3,Builder Mario,2,7,0.2857142857142857,"{'3DS Daisy Hills R/T', 'SNES Koopa Troopa Beach 2T', 'SNES Choco Island 2R/T', '3DS Toad Circuit T', '3DS Mario Circuit R/T', '3DS Daisy Hills T', 'RMX Mario Circuit 1T'}"
48,3,Peach (Explorer),2,6,0.3333333333333333,"{'N64 Kalimari Desert', 'N64 Choco Mountain T', 'Wii DK Summit', '3DS Daisy Hills R', 'GBA Cheep-Cheep Island', 'N64 Kalimari Desert R/T'}"
42,3,Funky Kong,2,5,0.4,"{'3DS Neo Bowser City', '3DS Cheep Cheep Lagoon R', '3DS Rock Rock Mountain T', '3DS Rock Rock Mountain R', '3DS Cheep Cheep Lagoon'}"
47,3,Cat Peach,2,5,0.4,"{""3DS Rosalina's Ice World T"", 'RMX Rainbow Road 1T', 'N64 Royal Raceway R', 'RMX Vanilla Lake 1R', 'RMX Rainbow Road 1'}"
40,3,Wario (Cowboy),2,4,0.5,"{""DS Luigi's Mansion R/T"", ""DS Luigi's Mansion T"", 'DS Airship Fortress T', 'SNES Donut Plains 1'}"
44,3,Wario (Hiker),2,4,0.5,"{""DS Luigi's Mansion R"", '3DS Rock Rock Mountain', 'N64 Choco Mountain', 'N64 Kalimari Desert R'}"
46,3,Yoshi (Egg Hunt),2,4,0.5,"{'SNES Mario Circuit 2T', 'SNES Mario Circuit 2R', '3DS Daisy Hills', '3DS Cheep Cheep Lagoon R/T'}"
49,3,Pauline (Party Time),2,3,0.6666666666666666,"{'3DS Rainbow Road R', 'N64 Frappe Snowland R', 'RMX Rainbow Road 2R'}"
41,3,Baby Peach (Cherub),2,2,1.0,"{'N64 Frappe Snowland R/T', '3DS Mario Circuit'}"
60,4,Shy Guy (Ninja),2,20,0.1,"{'SNES Donut Plains 2T', 'N64 Choco Mountain R', '3DS Shy Guy Bazaar T', ""GBA Bowser's Castle 1R"", 'Wii DK Summit T', 'N64 Kalimari Desert T', '3DS Shy Guy Bazaar R/T', 'Wii DK Summit R', '3DS Neo Bowser City T', 'SNES Ghost Valley 1R/T', ""GBA Bowser's Castle 2"", 'SNES Choco Island 2T', 'MKT Ninja Hideaway T', 'N64 Frappe Snowland T', '3DS Shy Guy Bazaar R', 'RMX Choco Island 2T', ""GBA Bowser's Castle 1"", 'MKT Ninja Hideaway', 'GBA Sunset Wilds', 'RMX Vanilla Lake 1'}"
53,4,Gold Koopa (Freerunning),2,15,0.13333333333333333,"{'N64 Koopa Troopa Beach R', 'GCN Dino Dino Jungle R', 'N64 Koopa Troopa Beach T', 'N64 Koopa Troopa Beach R/T', 'N64 Koopa Troopa Beach', 'GCN Dino Dino Jungle', '3DS Rainbow Road R/T', 'SNES Mario Circuit 1R/T', 'RMX Choco Island 2R', '3DS Mario Circuit T', '3DS Cheep Cheep Lagoon T', 'SNES Mario Circuit 2R/T', 'SNES Donut Plains 1T', '3DS Toad Circuit R/T', 'SNES Choco Island 1R'}"
54,4,King Boo (Gold),2,14,0.14285714285714285,"{'SNES Rainbow Road R/T', 'SNES Choco Island 2', 'SNES Rainbow Road T', 'MKT Merry Mountain R', 'N64 Kalimari Desert 2R', 'Wii Maple Treeway', 'DS Airship Fortress', 'SNES Vanilla Lake 1T', 'SNES Ghost Valley 1T', 'RMX Choco Island 1', 'N64 Kalimari Desert 2T', '3DS Rainbow Road', 'SNES Koopa Troopa Beach 2R', 'Wii Maple Treeway R'}"
66,4,Black Yoshi,2,7,0.2857142857142857,"{'SNES Donut Plains 1R/T', 'GCN Yoshi Circuit', 'N64 Choco Mountain', 'SNES Ghost Valley 1R', '3DS Rock Rock Mountain T', 'RMX Mario Circuit 1R/T', 'N64 Choco Mountain T'}"
52,4,Baby Mario (Koala),2,6,0.3333333333333333,"{'SNES Mario Circuit 1', 'Wii DK Summit', 'SNES Mario Circuit 2', 'GBA Cheep-Cheep Island', 'GBA Cheep-Cheep Island R', 'MKT Ninja Hideaway R/T'}"
57,4,Dry Bowser (Gold),2,6,0.3333333333333333,"{'DS Waluigi Pinball T', '3DS Neo Bowser City', 'N64 Kalimari Desert R', 'RMX Rainbow Road 1', '3DS Rainbow Road T', 'GCN Dino Dino Jungle T'}"
63,4,Peach (Halloween),2,6,0.3333333333333333,"{'3DS Neo Bowser City R/T', 'Wii Maple Treeway T', 'N64 Royal Raceway T', 'SNES Mario Circuit 2T', 'N64 Frappe Snowland', 'N64 Royal Raceway R/T'}"
67,4,Penguin Luigi,2,6,0.3333333333333333,"{'SNES Koopa Troopa Beach 2', 'RMX Mario Circuit 1R', 'DS DK Pass', '3DS Rock Rock Mountain', 'DS DK Pass R', 'DS Waluigi Pinball R/T'}"
55,4,Lakitu (Party Time),2,5,0.4,"{""3DS Rosalina's Ice World"", 'RMX Rainbow Road 2R', ""GBA Bowser's Castle 2T"", 'MKT Merry Mountain T', 'SNES Mario Circuit 3T'}"
51,4,Dixie Kong,2,4,0.5,"{'RMX Vanilla Lake 1R', 'N64 Kalimari Desert 2', 'SNES Donut Plains 1', '3DS Cheep Cheep Lagoon'}"
56,4,Hammer Bro,2,4,0.5,"{'SNES Mario Circuit 3R/T', 'DS Airship Fortress T', 'N64 Kalimari Desert R/T', ""GBA Bowser's Castle 1R/T""}"
61,4,Peach (Vacation),2,4,0.5,"{'3DS Toad Circuit R', 'SNES Mario Circuit 3', 'SNES Mario Circuit 1R', '3DS Cheep Cheep Lagoon R/T'}"
64,4,Metal Mario,2,4,0.5,"{'SNES Mario Circuit 2R', '3DS Shy Guy Bazaar', 'SNES Rainbow Road', 'RMX Mario Circuit 1'}"
65,4,Daisy (Fairy),2,4,0.5,"{""DS Luigi's Mansion R/T"", 'GBA Sunset Wilds R', 'SNES Vanilla Lake 1R/T', 'SNES Choco Island 2R'}"
58,4,Baby Peach (Cherub),2,3,0.6666666666666666,"{'SNES Donut Plains 1R', 'RMX Rainbow Road 2T', 'SNES Donut Plains 2R/T'}"
59,4,Cat Toad,2,3,0.6666666666666666,"{'RMX Vanilla Lake 1T', 'GBA Sunset Wilds R/T', ""GBA Bowser's Castle 2R""}"
62,4,Builder Mario,2,2,1.0,"{'SNES Mario Circuit 1T', ""GBA Bowser's Castle 1T""}"
80,5,Shy Guy (Ninja),2,21,0.09523809523809523,"{'SNES Donut Plains 2T', 'DS Airship Fortress R', 'N64 Choco Mountain R', '3DS Shy Guy Bazaar T', ""GBA Bowser's Castle 1R"", 'Wii DK Summit T', 'N64 Kalimari Desert T', '3DS Shy Guy Bazaar R/T', 'MKT Ninja Hideaway R', '3DS Neo Bowser City T', 'Wii DK Summit R', 'SNES Ghost Valley 1R/T', ""GBA Bowser's Castle 2"", 'SNES Choco Island 2T', ""DS Luigi's Mansion"", 'N64 Frappe Snowland T', '3DS Shy Guy Bazaar R', 'RMX Choco Island 2T', ""GBA Bowser's Castle 1"", 'GBA Sunset Wilds', 'RMX Vanilla Lake 1'}"
71,5,King Bob-omb (Gold),2,18,0.1111111111111111,"{'DS Waluigi Pinball T', 'SNES Koopa Troopa Beach 2', 'SNES Ghost Valley 1R', 'SNES Choco Island 2R/T', 'N64 Kalimari Desert 2R', 'RMX Rainbow Road 2R', 'N64 Choco Mountain T', 'DS Airship Fortress T', 'DS Airship Fortress', 'RMX Choco Island 2', 'N64 Kalimari Desert 2T', '3DS Rainbow Road', 'DS Airship Fortress R/T', 'SNES Donut Plains 2', 'RMX Rainbow Road 2T', 'SNES Donut Plains 2R', ""GBA Bowser's Castle 2R/T"", 'SNES Vanilla Lake 1R/T'}"
70,5,Gold Koopa (Freerunning),2,14,0.14285714285714285,"{'N64 Koopa Troopa Beach R', 'GCN Dino Dino Jungle R', 'N64 Koopa Troopa Beach T', 'N64 Koopa Troopa Beach R/T', 'N64 Koopa Troopa Beach', 'GCN Dino Dino Jungle', '3DS Rainbow Road R/T', 'SNES Mario Circuit 1R/T', '3DS Mario Circuit T', '3DS Cheep Cheep Lagoon T', 'SNES Mario Circuit 2R/T', 'SNES Donut Plains 1T', '3DS Toad Circuit R/T', 'SNES Choco Island 1R'}"
68,5,Toadette (Explorer),2,8,0.25,"{'N64 Kalimari Desert R', '3DS Toad Circuit', 'N64 Royal Raceway R', '3DS Rock Rock Mountain', '3DS Daisy Hills R', 'N64 Kalimari Desert 2', 'N64 Kalimari Desert R/T', '3DS Toad Circuit R'}"
73,5,Lakitu (Party Time),2,7,0.2857142857142857,"{'N64 Kalimari Desert', 'SNES Mario Circuit 3R', 'RMX Rainbow Road 1T', 'DS Waluigi Pinball', 'MKT Merry Mountain T', 'DS Waluigi Pinball R', 'SNES Mario Circuit 3T'}"
83,5,Yoshi (Egg Hunt),2,7,0.2857142857142857,"{'GCN Yoshi Circuit', 'GCN Yoshi Circuit R', 'RMX Mario Circuit 1R', 'SNES Mario Circuit 2R', '3DS Cheep Cheep Lagoon R/T', 'RMX Mario Circuit 1R/T', 'GCN Dino Dino Jungle T'}"
84,5,Mario (Chef),2,7,0.2857142857142857,"{'N64 Choco Mountain', 'SNES Choco Island 2R', 'SNES Mario Circuit 3', 'RMX Choco Island 1', 'SNES Donut Plains 1', '3DS Mario Circuit R', 'SNES Mario Circuit 3R/T'}"
79,5,Funky Kong,2,6,0.3333333333333333,"{'3DS Neo Bowser City', '3DS Cheep Cheep Lagoon R', 'DS DK Pass', '3DS Rock Rock Mountain T', '3DS Rock Rock Mountain R', 'DS Waluigi Pinball R/T'}"
82,5,Peach (Halloween),2,6,0.3333333333333333,"{'N64 Frappe Snowland R', ""DS Luigi's Mansion R"", 'SNES Ghost Valley 1', 'N64 Frappe Snowland', ""DS Luigi's Mansion T"", 'N64 Royal Raceway R/T'}"
81,5,Builder Mario,2,5,0.4,"{'3DS Daisy Hills R/T', '3DS Daisy Hills T', ""GBA Bowser's Castle 1T"", 'RMX Mario Circuit 1T', 'SNES Mario Circuit 1T'}"
75,5,Ice Mario,2,4,0.5,"{'RMX Vanilla Lake 1R', 'SNES Vanilla Lake 1', 'DS DK Pass R/T', 'SNES Vanilla Lake 1R'}"
77,5,Cat Toad,2,4,0.5,"{'RMX Choco Island 1R/T', 'MKT Merry Mountain R', 'RMX Rainbow Road 1R/T', ""GBA Bowser's Castle 2R""}"
69,5,Baby Mario (Koala),2,3,0.6666666666666666,"{'SNES Mario Circuit 1', 'GBA Cheep-Cheep Island', ""3DS Rosalina's Ice World T""}"
76,5,Baby Peach (Cherub),2,3,0.6666666666666666,"{'SNES Donut Plains 1R', '3DS Mario Circuit', 'DS DK Pass T'}"
78,5,Black Shy Guy,2,3,0.6666666666666666,"{""DS Luigi's Mansion R/T"", 'SNES Mario Circuit 1R', 'SNES Ghost Valley 1T'}"
72,5,Luigi (Painter),2,2,1.0,"{'SNES Rainbow Road T', 'RMX Rainbow Road 1'}"
74,5,Shy Guy (Gold),2,2,1.0,"{'3DS Shy Guy Bazaar', ""GBA Bowser's Castle 1R/T""}"
91,6,Dry Bones (Gold),2,17,0.11764705882352941,"{""GBA Bowser's Castle 2R/T"", 'SNES Ghost Valley 1R/T', 'RMX Rainbow Road 1R', ""GBA Bowser's Castle 1R/T"", ""GBA Bowser's Castle 1R"", 'SNES Rainbow Road R', ""GBA Bowser's Castle 2"", ""GBA Bowser's Castle 1"", '3DS Neo Bowser City R/T', 'SNES Koopa Troopa Beach 2', 'N64 Kalimari Desert 2', ""GBA Bowser's Castle 2T"", 'SNES Choco Island 1', 'SNES Ghost Valley 1', 'DS Airship Fortress R/T', 'SNES Rainbow Road', 'SNES Vanilla Lake 1R/T'}"
86,6,Gold Koopa (Freerunning),2,15,0.13333333333333333,"{'N64 Koopa Troopa Beach R', 'GCN Dino Dino Jungle R', '3DS Neo Bowser City R', 'N64 Koopa Troopa Beach T', 'N64 Koopa Troopa Beach R/T', 'N64 Koopa Troopa Beach', 'GCN Dino Dino Jungle', 'SNES Mario Circuit 1R/T', 'RMX Choco Island 2R', '3DS Mario Circuit T', '3DS Cheep Cheep Lagoon T', 'SNES Mario Circuit 2R/T', 'SNES Donut Plains 1T', '3DS Toad Circuit R/T', 'SNES Choco Island 1R'}"
87,6,King Boo (Gold),2,14,0.14285714285714285,"{'SNES Rainbow Road R/T', 'SNES Choco Island 2', 'SNES Rainbow Road T', 'DS Airship Fortress', 'SNES Vanilla Lake 1T', 'DS Airship Fortress R', 'SNES Ghost Valley 1T', 'RMX Choco Island 1', 'N64 Kalimari Desert 2T', '3DS Rainbow Road', 'SNES Koopa Troopa Beach 2R', ""DS Luigi's Mansion"", 'MKT Ninja Hideaway R', 'Wii Maple Treeway R'}"
88,6,Bowser (Santa),2,14,0.14285714285714285,"{'DS Waluigi Pinball T', 'N64 Royal Raceway', 'SNES Ghost Valley 1R', 'RMX Rainbow Road 1R/T', 'SNES Vanilla Lake 1', 'Wii Maple Treeway T', 'SNES Vanilla Lake 1R', 'RMX Rainbow Road 2', 'N64 Frappe Snowland', 'GCN Dino Dino Jungle R/T', '3DS Shy Guy Bazaar R/T', '3DS Shy Guy Bazaar', '3DS Rainbow Road T', 'MKT Merry Mountain'}"
85,6,Toadette (Explorer),2,10,0.2,"{'N64 Choco Mountain T', 'N64 Kalimari Desert R', 'Wii DK Summit', '3DS Toad Circuit', 'RMX Vanilla Lake 1', 'SNES Choco Island 2T', '3DS Rock Rock Mountain', '3DS Daisy Hills R', 'N64 Kalimari Desert R/T', '3DS Toad Circuit R'}"
97,6,Builder Mario,2,9,0.2222222222222222,"{'GBA Sunset Wilds T', '3DS Daisy Hills R/T', 'SNES Koopa Troopa Beach 2T', 'SNES Choco Island 2R/T', '3DS Mario Circuit R/T', '3DS Daisy Hills T', ""GBA Bowser's Castle 1T"", 'RMX Mario Circuit 1T', 'SNES Mario Circuit 1T'}"
95,6,Funky Kong,2,8,0.25,"{'3DS Neo Bowser City', '3DS Cheep Cheep Lagoon R', 'DS DK Pass', '3DS Rock Rock Mountain T', '3DS Rock Rock Mountain R', '3DS Neo Bowser City T', 'GBA Cheep-Cheep Island R', 'DS Waluigi Pinball R/T'}"
92,6,Baby Peach (Cherub),2,7,0.2857142857142857,"{'RMX Rainbow Road 2T', 'SNES Donut Plains 2R/T', 'N64 Frappe Snowland R/T', 'SNES Donut Plains 1R', '3DS Mario Circuit', 'N64 Frappe Snowland T', 'DS DK Pass T'}"
100,6,Yoshi (Egg Hunt),2,7,0.2857142857142857,"{'GCN Yoshi Circuit', 'GCN Yoshi Circuit R', 'RMX Mario Circuit 1R', 'SNES Mario Circuit 2R', '3DS Cheep Cheep Lagoon R/T', 'RMX Mario Circuit 1R/T', 'GCN Dino Dino Jungle T'}"
101,6,Mario (Chef),2,7,0.2857142857142857,"{'N64 Choco Mountain', 'SNES Choco Island 2R', 'SNES Mario Circuit 3', 'RMX Mario Circuit 1', 'SNES Donut Plains 1', 'SNES Mario Circuit 3R/T', 'Wii DK Summit R'}"
